Tower sampling points:
-0.480026 -0.086506 0.000000
0.137139 -0.086506 0.000000
-0.621096 -0.619869 -2.358612
0.963983 0.792880 -10.621002
-3.174450 -1.647120 -8.112823
1.248622 -0.842575 -6.438995
-2.472638 1.308503 -4.884308
2.924844 1.914247 -7.803192
-3.182610 1.692735 -8.183319
3.157852 -1.015446 -8.844330
-0.321952 0.494116 0.433563
-1.171136 -1.316601 -10.571503
-1.735072 -1.636559 -4.901825
-0.480961 0.751368 -8.080292
-0.021926 0.534000 -4.636688
0.720072 -1.111910 -9.000824
-2.842145 -0.196499 -3.080292
-1.478591 -0.852079 -6.947601
-1.229390 0.852620 -10.425079
-2.953960 -0.002872 -9.303192
-0.562358 -1.218389 -0.467194
3.073013 0.130401 -7.103790
1.325810 0.627195 -7.577728
-1.111246 -1.076606 -8.737030
-0.662063 0.599540 -6.304413
-1.329863 0.619800 -3.459015
3.082478 0.692083 -8.995636
-2.691294 0.166024 -7.603790
-0.277983 -0.949159 -5.720001
0.175796 0.292757 -1.180206
0.435405 -0.764659 -10.579132
0.372616 -0.717934 -3.671112
0.040014 -0.981880 -7.531525
-2.627497 -0.291362 -4.732086
0.778879 0.764096 -9.043793
2.077297 -0.792381 -7.641815
-1.499435 1.950690 -4.043732
0.761965 0.515834 -6.279999
-0.915486 -0.567329 -4.462189
0.279619 0.374920 -2.772980
-1.117832 0.165475 -9.257599
-1.467457 0.467636 -7.293610
3.622825 -0.835095 -7.686737
-1.619553 -0.547249 -3.094879
-0.320125 -1.124990 -9.674713
-0.077981 0.821976 -9.916290
0.676661 -0.171496 -8.293488
0.540648 -0.256697 -5.279816
-0.458277 -0.057663 -10.580292
0.129678 -0.358545 -0.186188
0.794996 -0.001264 -9.850800
-0.889797 0.154910 -5.314606
0.232592 0.679604 -7.240692
-3.114991 1.060850 -9.083221
2.032662 0.271701 -6.785187
-1.143045 0.370180 -2.408783
-0.616075 -0.451105 -1.255707
-1.020859 -0.451907 -7.854034
3.447450 0.966662 -7.745087
-3.054758 -1.097711 -9.031525
-0.445467 -0.597423 -6.698090
-0.342624 0.379253 -3.662384
-2.586007 -0.859773 -7.703827
0.661279 -0.267144 -7.136322
0.306732 -0.348911 -1.965485
-0.676382 -0.825781 -3.505219
3.172017 -1.673352 -8.097626
0.033186 -0.817671 -4.613129
2.543949 0.438871 -7.883820
-0.113849 -1.150238 -8.487518
0.030991 0.493379 -5.622406
-0.546295 0.236938 -0.501190
1.129666 -0.951318 -7.606110
-2.409547 0.089953 -3.903534
0.956202 -1.159965 -9.903290
-0.223762 -0.086341 -7.510406
-0.656691 1.119530 -0.167389
-1.311885 -0.373889 -10.417816
-3.118665 0.978395 -7.522003
-2.060094 0.160789 -2.702789
-1.108332 1.094278 -4.209015
-0.290125 0.335533 -2.061005
0.497130 -0.373784 -6.237396
-0.127843 0.787235 -9.003937
-1.177330 -0.862302 -9.610016
-1.080879 -1.457914 -4.316620
-1.912173 -0.302728 -7.559479
0.430245 0.113722 -3.997406
0.227426 -0.650613 -2.802704
-0.958375 -0.453037 -6.005585
3.056529 -0.172784 -9.091095
2.841795 1.337034 -8.446320
-1.155894 0.264803 -8.321014
-0.316092 -1.202792 -10.534027
-0.709485 -0.063128 -3.019012
0.694886 0.731889 -8.155731
-0.858596 0.306133 -4.441498
1.983029 -0.601586 -6.807709
-0.621871 0.619658 -7.255280
-0.943037 -0.973516 -5.211334
0.310549 0.266090 -10.509308
-2.154098 -0.924195 -5.004181
3.745488 0.030252 -7.582184
-0.760955 -1.043435 -7.335785
2.747004 -0.644148 -7.093597
1.463596 -0.207003 -7.612701
-0.440109 -0.341290 0.396088
-2.464821 0.498787 -4.802032
0.710712 -0.309064 -9.100800
-1.137085 0.915023 -9.628632
0.145785 -0.480838 -0.977631
