Tower sampling points:
-1.113716 -0.047930 0.000000
-0.555312 -0.047930 0.000000
-0.147789 -0.014529 -2.112476
1.816818 0.110389 -7.620715
-3.891904 -0.018170 -6.484912
-0.694642 0.265195 -5.405872
-1.113716 -0.047930 0.047314
-2.689357 0.192558 -4.270374
1.043540 -0.302662 -4.022083
1.080800 -0.183415 -5.907703
-0.362474 -0.705484 -6.941089
-1.010775 -0.219631 -3.713062
1.279409 -0.066966 -2.545886
-0.285948 0.773369 -6.784412
-3.906126 0.028040 -5.037280
-1.234255 0.177095 -1.302905
-1.641679 -0.526565 -5.838794
-1.274922 -0.255900 -2.515063
-1.330169 0.219998 -6.818591
-1.649109 -0.170630 -4.711475
-1.657603 0.655945 -5.788501
0.024761 -0.247583 -5.985706
1.834842 -0.213769 -6.627063
-0.746974 0.269520 -4.460681
-0.737589 0.309638 -3.006396
-2.972197 -0.053497 -5.111011
-0.623668 -0.425070 -0.991077
-0.865808 -0.227321 -6.208179
-0.762106 0.424437 -0.649707
0.984631 0.136035 -3.315417
-3.789664 0.402751 -5.780688
0.062065 0.041358 -5.218311
-2.190471 0.344859 -5.013477
-1.548473 0.281641 -4.052966
-0.818896 -0.288453 -1.790271
0.512090 -0.242554 -2.497974
1.807110 0.013603 -5.899402
-1.377671 0.342123 -5.151599
-1.185143 0.283799 -2.032581
-0.646461 -0.508692 -0.276660
-0.937336 -0.239615 -4.959705
-0.536924 -0.281266 -2.630664
-0.326593 0.348094 -6.016467
0.535717 0.223381 -5.916919
-1.129443 -0.143616 -0.645007
-0.455547 0.237150 -1.569385
-2.106133 -0.110127 -4.229114
-1.108409 0.333289 -5.966174
-0.798292 -0.162362 -6.869617
-3.354511 0.257388 -4.678088
-2.224369 -0.303402 -5.035510
-1.141020 -0.194228 -5.616687
-1.288055 -0.206759 -3.145374
-1.141924 -0.186814 -4.354785
-0.663594 0.269271 -2.411304
-1.211643 0.303334 -3.451282
-2.737603 0.427558 -4.801013
0.422876 0.079192 -2.022510
1.746198 -0.425045 -7.414600
-0.846296 0.308728 -6.479785
-0.764641 0.299683 -3.811877
-0.525139 -0.161171 -5.756213
1.757799 0.150557 -7.061694
-0.615464 0.047088 -0.230396
-1.217619 0.266911 -2.666003
-0.417804 -0.205961 -5.137195
0.473589 -0.157051 -5.498889
-1.305376 0.249262 -4.615771
0.875610 -0.177089 -2.901294
0.173003 0.220913 -2.463489
-0.791266 0.070311 -1.049487
-1.332931 -0.187633 -6.494983
-0.773288 -0.269288 -3.185413
-2.567955 -0.053778 -4.714160
-1.040136 0.392842 -0.201404
-0.545415 -0.487685 -6.509998
-1.424842 -0.200483 -5.169299
-1.625970 -0.229838 -4.104480
-3.941092 -0.046744 -5.968188
0.879338 0.088946 -2.278369
-0.269165 -0.224780 -1.673083
-0.918440 0.296745 -4.927295
-0.036839 -0.244775 -2.538196
-1.218654 -0.286178 -1.479968
-1.801001 0.258462 -4.525317
0.506707 -0.235589 -6.090686
-1.255544 -0.281899 -2.006885
-3.595001 0.232012 -5.368213
0.992583 0.161798 -3.798572
0.108840 0.141121 -5.704578
1.748877 0.213428 -6.328662
-0.851825 -0.146607 -2.277087
-0.919812 0.251044 -1.640613
0.877419 0.066717 -5.568774
-1.088051 0.221745 -4.130176
1.136055 -0.294754 -3.348865
-3.046804 -0.062693 -4.590198
-3.822070 0.357606 -6.242908
-1.307191 -0.203305 -6.036914
-1.786806 0.151569 -4.988696
-0.621390 0.079068 -1.970996
-0.598633 -0.159716 -1.373584
-0.144318 -0.196432 -5.525684
-0.468285 0.573336 -6.437488
-3.452631 -0.024887 -4.999500
1.460488 -0.132668 -6.120105
-0.798350 -0.285272 -4.106860
-0.899733 -0.108943 -2.802783
-1.190693 0.286595 -5.536487
-0.623118 -0.034109 -0.652881
-2.226580 0.197198 -4.519519
1.169776 0.139034 -2.903796
-0.765236 -0.158138 -5.403674
-1.164585 -0.174239 -1.071765
-0.312095 0.187311 -5.599902
-0.796832 0.171311 -3.403064
-3.932945 -0.007548 -5.458789
