Tower sampling points:
-4.562620 -0.825647 0.000000
1.429605 -0.825647 0.000000
-1.118977 -1.020540 -5.270074
4.251991 2.671834 -7.625665
-4.319794 -0.248810 0.425116
4.207569 -3.734067 -7.572015
-5.948330 1.845548 -8.018182
1.955195 -0.391578 0.096991
-5.844313 -4.341215 -7.397211
-0.091185 0.438737 -10.320184
-0.070850 -4.482161 -3.533685
-0.032015 2.507154 -4.002618
2.589717 -0.389242 -6.034906
-1.299151 -1.519560 -1.502863
-4.779863 -1.035014 -5.996271
-2.157804 -1.918582 -8.626764
1.703970 -1.947024 -2.702386
-5.907209 -1.237142 -8.546991
4.127443 -0.020492 -8.295709
-0.428029 0.235202 -7.606989
1.583958 0.635768 -3.083490
-0.190591 -2.175426 -10.307611
-2.430199 0.248083 -9.742120
-2.707167 0.211521 -6.596918
0.730238 -1.781177 -6.535699
-1.878989 -0.066067 -3.270563
-0.285922 -0.203252 0.056586
-6.308120 -2.327237 -6.722589
-0.484369 -2.430833 -3.238214
3.930980 -1.890215 -6.610284
-6.247179 0.276868 -6.691400
-2.334596 -0.162976 -0.249689
0.618335 0.059746 -5.536981
-2.575016 -1.837767 -6.522699
-0.185471 -1.767659 -8.331415
0.651364 -1.755086 -0.427118
3.729662 1.038941 -6.812860
-0.238272 0.759668 -3.426386
1.088878 -3.176422 -3.866083
-2.377480 -1.544953 -10.323297
-3.449764 -1.414106 -0.479913
1.728720 -0.039680 -1.538812
-0.849263 -0.429871 -9.098993
-0.580711 -0.106231 -2.039911
-1.912912 -1.623696 -3.938776
-0.939743 -1.778769 -6.790094
-2.075394 0.182970 -8.123468
-0.410105 -0.868197 -3.687677
4.141626 -1.929944 -8.185297
-1.319122 -1.407433 0.073737
-5.944201 0.325240 -8.389886
-2.174966 0.050322 -4.877374
-5.789599 -2.863568 -8.077509
-1.168046 0.095583 -6.282587
4.000322 -0.376973 -6.489984
-3.392642 -0.692281 -5.622980
1.822946 -1.600248 -1.290094
2.151166 -1.793455 -6.272882
0.832350 1.365069 -4.148492
-4.142316 0.077489 -6.603265
-1.914339 -0.248030 -1.749506
1.451219 0.045181 -6.640192
-4.745323 -1.438629 -0.058405
0.032664 -1.722079 -5.337396
