Tower sampling points:
-3.950684 0.235171 -0.233484
5.698203 0.235171 -0.233484
2.760191 -0.726789 -8.747192
-4.507710 0.256448 0.000000
5.627103 0.454575 0.018555
-0.450914 1.563308 -14.663208
-2.388550 0.981050 -5.773926
6.776139 -0.038802 -5.253296
1.906311 -0.572448 -3.416992
-0.782516 1.341540 -10.278198
2.262405 -0.987122 -12.848267
-5.495885 -0.191602 -3.770630
-2.087205 -0.477551 -2.533081
3.485468 1.207210 -5.957031
4.714828 0.970170 -3.011719
-0.807260 -1.019448 -8.144287
-0.489756 -1.398089 -14.177856
1.734036 1.557342 -11.730225
-0.178281 -1.133803 -11.409180
-0.260240 1.008556 -3.831421
2.120357 1.179364 -14.331177
1.364033 1.433815 -8.927368
0.843983 -0.172295 -5.603027
-1.348035 1.304859 -7.929565
4.395817 -0.648925 -4.827759
-3.512613 0.929701 -3.774292
-0.427630 1.434160 -12.466309
1.969148 -0.376355 -10.728271
3.439409 -0.729791 -6.754883
4.221388 -0.288225 -1.463989
-3.560780 0.749929 -1.714966
-1.991278 -0.847739 -6.545166
-2.056275 -0.606824 -4.523071
1.452721 -1.253348 -14.642944
-5.096272 -0.300465 -5.700439
0.389640 -0.218166 -9.492065
2.993110 1.033651 -7.895264
-0.158946 -0.708230 -2.913208
2.740140 1.018523 -2.660767
6.562885 0.766563 -3.519531
0.977020 0.700430 -2.525879
3.647643 -0.471832 -3.120972
0.511111 0.424239 -11.246826
3.378743 0.760507 -4.324951
-0.693682 0.225780 -13.712158
-1.882487 0.852782 -3.528198
-0.929909 -1.055864 -9.876709
-3.909848 -0.496864 -3.193359
2.233556 1.173789 -10.270874
5.400477 -0.338286 -3.589233
-0.143091 1.111154 -8.913818
0.751999 1.473804 -13.730591
1.741342 0.915284 -3.750366
0.054761 -0.988833 -12.895752
1.170888 -0.900404 -11.887207
2.391321 -0.234542 -14.304077
-0.760865 0.939719 -2.509155
1.578065 0.045434 -8.779907
-3.317676 -0.164717 -0.623657
0.693526 -0.354573 -4.050537
5.076149 0.752567 -1.229370
-1.863471 0.489032 -6.963623
-1.045243 0.256125 -9.496826
2.170760 1.167977 -12.974731
-2.310382 0.858777 -2.219727
0.551220 1.329574 -10.081543
3.366176 -0.130961 -5.551758
-0.636148 -0.021048 -10.739136
-0.885349 -0.164493 -3.896240
-3.385056 -0.531558 -1.959473
5.707938 -0.755026 -0.481567
2.555344 -0.200901 -7.580444
-1.507338 0.065236 -8.262207
1.069224 -1.160229 -10.050659
3.824831 0.826625 -1.994263
-3.832225 1.254725 -0.449829
2.604318 0.818562 -9.083862
-4.667778 0.641753 -3.423462
-2.580501 0.850476 -4.565063
1.138870 -0.997224 -13.491089
4.803461 -0.277819 -2.532715
-2.807234 -0.153994 -3.565063
4.530300 0.412700 -4.208252
-0.342549 -0.011443 -8.556519
-0.122699 1.443160 -11.255737
-2.467807 -0.270722 -5.578125
3.398288 0.504471 -6.899170
0.951684 -0.442247 -2.737061
1.161885 0.286611 -10.180786
6.584044 -0.326958 -3.852173
2.446824 -0.134641 -9.693726
2.646717 -0.127401 -2.686768
3.422023 -0.513737 -4.297363
1.612986 0.523611 -11.291260
2.126864 -0.343735 -11.909668
-1.049854 -0.113791 -2.652344
3.627626 0.644590 -3.260376
4.804263 -0.124364 -0.410522
-3.267135 0.576129 -2.753662
0.235302 -0.640009 -10.529785
-1.754427 -0.773741 -7.616455
0.245137 0.279100 -3.212158
-1.200854 1.313702 -9.006348
-0.328644 1.496872 -13.597168
-0.539082 0.601780 -11.771362
1.766675 -0.945742 -9.132080
4.080162 0.845971 -5.146362
-0.181902 -0.979060 -9.003052
5.535149 0.697516 -3.761353
-5.198079 0.342048 -4.869751
2.719702 0.030967 -3.718262
1.998313 1.253982 -8.129639
0.915850 1.362538 -11.118408
2.195219 -1.289978 -13.938721
4.404693 -0.531243 -3.811401
-2.733722 0.133651 -1.541626
-0.725921 -0.495436 -14.589355
-1.216874 -0.603907 -8.972168
2.011648 0.410928 -13.614258
-1.791085 -0.322377 -3.493896
1.900748 0.510764 -2.839478
1.348003 1.786992 -14.459106
0.732319 1.000946 -3.673462
2.312307 -1.030870 -10.073853
0.192168 0.373228 -10.303101
6.668316 -0.979244 -5.454590
-4.468080 -0.232385 -3.935547
-0.396653 -0.335466 -11.952026
5.173677 -0.194569 -1.557251
0.456794 -1.228424 -14.114990
2.684301 0.984487 -3.645752
1.086389 -0.764697 -10.935669
2.862489 0.161355 -8.397461
-1.745845 0.108483 -6.055054
1.288207 0.141153 -3.460815
-2.927505 -0.202422 -4.497803
-4.279502 -0.395269 -0.613525
1.988518 -0.579673 -8.238525
0.917239 0.737836 -9.413696
-1.907637 0.411867 -5.015503
4.805022 0.832266 -2.110352
3.745027 -0.207634 -2.254272
-0.652136 -0.471045 -13.125244
-0.608226 0.846597 -8.170654
-3.003506 -0.536942 -2.774658
0.136336 1.003864 -2.621094
3.087104 -0.878256 -7.829956
2.842422 1.216877 -7.035400
0.484336 -0.463632 -11.523560
-1.015491 0.578343 -3.432861
3.880236 -0.761816 -5.989258
1.350122 1.468700 -13.076050
-1.792177 0.400081 -2.779175
-2.072984 0.251768 -4.170288
-3.854110 0.475293 -0.868530
1.914473 -1.064840 -11.469360
-3.614867 0.034212 -3.819702
-0.755352 0.767498 -14.500732
-0.133386 -0.595729 -3.865356
-0.564019 -0.939333 -10.661865
-2.650111 1.030470 -3.184814
1.404804 1.364910 -10.371460
3.766871 0.381518 -6.108276
5.222867 0.277997 -3.023315
1.973711 -0.552397 -13.582520
-2.082485 1.208798 -6.530029
4.382105 1.129635 -3.770142
-0.592320 0.828004 -10.928101
4.210243 0.392579 -2.673462
2.034634 1.331976 -9.419922
0.799763 0.041762 -4.800537
-5.418320 0.679916 -3.770386
4.269917 0.607058 -1.321167
-1.149869 0.588846 -7.579468
2.047176 0.448614 -10.602417
-0.564701 0.845191 -13.165771
-1.401414 -0.171477 -7.196777
1.881128 1.647340 -13.713013
3.731267 0.031516 -3.783081
2.265322 0.481051 -7.959473
-0.401916 -1.096503 -12.216431
-3.098992 0.685010 -1.054321
6.008021 0.174771 -3.372070
-2.561633 0.172868 -2.825439
0.216109 1.475934 -11.987671
5.092575 0.883037 -0.398682
-3.974837 0.387160 -3.078369
-3.584728 0.439497 -0.118652
1.065051 -0.635253 -9.429565
1.864240 -0.268992 -2.651123
4.056861 0.064364 -5.018921
-3.724239 -0.201914 -1.323975
-3.305084 -0.678183 -3.946655
4.524039 0.294742 -3.388306
-0.762541 -0.186128 -7.916260
0.151513 0.524361 -9.409180
1.880226 1.284053 -11.010254
-1.730968 1.252265 -7.251709
-2.679849 0.359684 -5.174561
6.624286 0.114414 -4.509155
3.385213 0.505853 -5.110352
1.957836 0.779310 -11.934570
-1.100027 -0.600842 -3.288452
-0.544578 -1.207575 -13.433228
-2.751753 0.556789 -3.875366
-0.471487 -0.086674 -3.240112
0.208893 1.727841 -14.305054
1.297272 1.071969 -3.113159
0.188018 1.038248 -10.686768
-0.633043 1.309931 -9.531494
3.222302 0.374855 -2.675781
1.870902 0.113426 -3.939331
-0.101950 -0.006406 -11.332520
1.979424 0.710061 -8.651367
0.144699 -0.879714 -9.754272
-1.371202 0.522783 -8.842407
3.252588 -0.098858 -7.319214
-0.083605 -0.039024 -2.585571
5.654968 -0.021345 -0.605713
-0.348523 0.715724 -3.107056
1.506766 -0.948877 -12.849609
2.294819 -0.936615 -14.581543
-2.693402 -0.282177 -2.152710
3.462077 -0.686097 -5.015259
-0.062511 -0.999376 -14.624268
2.273068 0.624291 -9.784058
-0.797706 -0.347259 -10.020264
1.353215 -0.162675 -11.269897
1.072876 -0.443789 -10.198975
0.495293 -0.543748 -3.374878
1.762614 1.537000 -12.458252
0.209029 1.750712 -13.176636
-1.386892 0.987933 -2.919556
-3.282597 0.188942 -2.081177
0.628314 -1.199770 -11.512207
2.968657 -0.546901 -3.356689
-1.924591 -0.665274 -5.842041
4.132023 1.005476 -4.445190
2.882128 0.510399 -7.405762
-2.293074 -0.707952 -3.853882
-2.651432 -0.640966 -4.992798
1.894948 -1.001097 -12.233398
-0.646089 -0.533775 -13.838745
2.716331 1.305827 -8.571289
-5.017140 0.247532 -4.183960
1.672737 -0.782005 -9.871460
4.355373 -0.362007 -3.083984
-1.503776 -0.793517 -8.279663
0.859917 0.347959 -3.983643
1.208592 -0.609934 -3.503296
4.723391 0.145809 -1.978149
2.484623 -1.005034 -9.329834
4.681591 0.074640 -1.078125
0.392829 -0.890562 -13.502563
1.169636 0.056165 -9.388794
-2.836282 0.793203 -1.764160
-0.019481 0.095023 -3.831787
-2.247739 -0.135505 -6.472534
0.292573 1.300412 -9.440063
1.310825 0.720375 -10.708008
3.432935 1.024937 -2.647949
3.413171 -0.270410 -6.219116
-0.959578 0.813324 -9.883179
5.691505 0.657704 -0.664185
-4.084571 0.561911 -3.774170
-4.454355 -0.063609 -3.276978
-3.586237 -0.013260 -2.660889
2.165695 1.024226 -3.188110
1.346896 0.141746 -2.773071
0.175277 -0.881987 -11.957153
-2.403189 -0.459991 -3.120361
3.387066 1.248422 -6.651855
-2.155311 0.550450 -6.339600
0.190023 1.058095 -3.289917
-1.486988 0.294993 -3.803955
1.924422 -1.035392 -10.782959
4.045248 -0.490948 -5.376953
2.807086 0.513813 -3.200195
4.220127 -0.195730 -4.348267
5.444650 0.933512 -3.153076
-2.172373 1.027644 -5.048462
1.157283 -0.897143 -14.140137
5.042672 0.263890 -3.790771
1.078346 1.577644 -11.726318
-1.554037 0.699466 -8.108154
-3.062574 -0.352955 -1.257812
2.721321 -0.120283 -8.982910
-1.490367 -0.596671 -2.766357
3.190327 0.513219 -3.727295
2.232946 0.133991 -3.301025
4.076156 1.117050 -3.199463
1.238942 1.300053 -9.548462
4.613302 0.645184 -0.774414
6.835290 0.290706 -3.862305
3.601141 1.088680 -3.729370
-0.363505 -0.573199 -11.151123
-0.457880 -0.641459 -8.528809
-2.024102 -0.503364 -5.154785
0.649666 0.154629 -2.731567
0.869003 0.601426 -3.181885
0.645415 0.300823 -9.804688
-1.993665 0.883536 -4.221680
1.539125 0.849800 -9.113403
-1.109761 -0.780160 -7.637939
-2.070241 0.249245 -3.461426
3.226045 -0.380341 -2.633423
-1.827402 0.682892 -5.803345
2.188163 -0.433226 -3.964600
-2.030541 1.064404 -2.952515
2.950669 -0.639505 -7.205200
-0.044530 -0.357026 -8.989746
3.432099 0.131455 -4.326294
0.391972 1.079615 -11.316406
-3.030148 0.385564 -3.335938
2.086634 0.190339 -11.530151
4.969911 0.974224 -3.629639
-0.101062 0.617418 -11.249878
-2.273640 0.169981 -2.272217
1.463062 -0.763595 -2.956665
0.976387 0.889505 -10.194336
-0.206704 0.483060 -8.905029
4.984045 -0.356707 -3.130859
0.280133 0.031234 -10.810425
-1.907505 -0.494026 -7.054199
3.235161 -0.006616 -3.228271
-0.411552 1.405975 -11.798462
-0.633255 0.335191 -2.709961
1.990139 -1.282446 -13.312866
-0.533502 0.429323 -3.817993
2.520743 -0.971240 -8.045776
-0.648660 -0.828275 -9.366455
0.374314 -0.207020 -10.123291
-3.899693 -0.112445 -0.229126
-0.749191 1.117556 -3.336670
3.312853 0.950685 -7.313843
1.232647 -0.087893 -10.678955
-1.787796 0.517509 -7.578369
-0.709568 1.244937 -8.615967
3.334863 0.623044 -5.759155
-5.247678 0.242800 -5.480957
-4.947483 0.017066 -3.616821
0.246663 0.649159 -3.743042
0.350222 -0.520536 -2.651489
-1.231619 0.547745 -2.540161
-0.329579 1.343886 -10.695312
3.920049 0.863158 -5.725464
2.265840 0.585211 -3.807373
2.344160 -0.105287 -8.146484
5.003013 0.389936 -2.478516
3.566356 1.096868 -4.971802
2.125486 -0.399936 -10.120850
-0.509999 1.233566 -14.100952
-1.332611 1.083177 -3.543335
0.377277 -0.887597 -11.070923
-0.608627 -1.162242 -12.771484
2.319911 -0.536815 -2.970825
3.092106 1.033451 -3.148560
2.001720 1.691040 -14.610352
2.982715 -0.312833 -7.978394
1.642092 0.986446 -2.598267
5.994386 0.808700 -3.358520
4.354739 -0.305867 -2.078003
-1.499290 0.087043 -3.185303
4.013917 0.676315 -3.853271
5.298443 0.229577 -1.071289
2.336227 0.352160 -14.298218
2.185474 -0.633894 -8.864258
-0.653373 0.578887 -10.400879
1.864134 -0.480600 -11.404663
-3.584117 0.861304 -3.197998
-4.335559 0.426587 -0.531860
1.592593 -0.559321 -8.730469
4.175341 0.340101 -1.930420
2.139741 1.311938 -8.846436
-0.663015 -1.093631 -14.643677
2.386397 1.103302 -7.722656
4.334348 1.018476 -2.574219
-0.985248 0.774870 -9.240356
5.103358 0.325679 -0.198730
3.707255 0.362651 -2.349487
2.105662 -0.566883 -9.518066
-2.726762 0.813226 -2.655029
3.324144 0.693334 -6.358398
-3.363253 -0.375215 -3.459229
1.491653 -0.889976 -10.435913
3.425162 -0.120644 -4.935425
3.589814 -0.520384 -3.731201
-1.491966 -0.283814 -7.750610
1.897302 -0.535162 -12.875488
0.034394 -1.290389 -13.686157
-0.715713 -0.535173 -2.876221
-1.425821 1.111395 -8.526855
5.903095 -0.231594 -3.828247
-0.408577 -0.882493 -10.013306
0.659224 -0.606789 -9.842163
-1.972982 0.030633 -5.427002
-0.588294 1.424554 -13.006470
-5.275282 -0.122955 -4.565796
-1.907350 0.042574 -7.304199
1.419550 1.273179 -11.364868
1.987054 0.992038 -13.472778
-3.186753 0.740644 -2.196167
3.858824 -0.457852 -4.695557
2.198311 0.964433 -2.537964
2.064385 -0.686613 -14.116455
4.019728 -0.546103 -2.678955
2.700368 -0.637135 -3.836060
1.083151 0.355195 -11.274292
0.176512 0.452016 -2.575195
1.696579 -1.058645 -13.864746
-0.939759 0.360502 -8.039062
0.785305 -0.014836 -3.287476
-2.361560 0.968123 -3.781372
-2.932277 0.346232 -4.421753
0.455164 0.818148 -9.847656
3.687257 0.005894 -2.846558
-2.070180 -0.061763 -2.937256
4.821832 -0.500953 -1.848267
-2.942579 1.061776 -3.777466
-3.345392 0.470562 -0.613770
5.701405 -0.234268 -3.143799
-3.961413 -0.382553 -3.749756
1.258687 0.646286 -3.666016
-2.283149 -0.134090 -3.847168
-2.386152 -0.746671 -6.120361
2.714514 0.663729 -8.546753
-2.018069 0.003439 -4.673584
6.147325 0.461210 -3.810669
1.486763 -0.247489 -3.814941
0.024112 -0.303645 -3.230591
0.197692 1.573478 -13.692993
-2.709394 0.988865 -5.090820
-3.821033 -0.072978 -0.791138
1.464922 -0.261776 -3.148682
-1.307892 -0.008578 -8.796020
3.449028 -0.875230 -7.436157
-2.798410 -0.472674 -3.993286
3.914652 -0.184842 -6.057983
4.050873 0.080177 -3.266724
4.826747 -0.207566 -3.665039
-1.165011 -0.620464 -3.816284
-2.735563 0.432994 -2.262695
3.391718 -0.156727 -6.809570
0.628349 0.975641 -2.817261
2.421147 0.509586 -2.744751
0.271312 -0.686666 -9.279053
1.353036 -0.905786 -11.391968
0.683715 -0.073717 -11.223633
-0.793458 -0.913820 -8.866455
-3.178986 0.206535 -1.258667
-0.611359 -0.471705 -3.569214
1.426684 0.552682 -3.165161
3.215072 -0.172623 -3.848633
-2.373892 0.573449 -3.183960
-0.514708 0.986156 -12.209473
2.399883 -0.374444 -3.491089
-3.052440 0.024355 -2.920898
-3.619663 0.000893 -3.181152
1.335402 1.590881 -13.582153
1.864911 1.453253 -10.033936
-3.618785 0.245699 -1.605835
2.837844 0.239634 -7.885254
4.246966 -0.037457 -3.794434
3.876152 0.808394 -2.804565
-0.774183 0.949150 -3.832397
-4.163138 0.840091 -3.242798
2.529655 0.394867 -9.369507
6.674525 0.380264 -5.537354
0.498764 0.002668 -3.733154
0.748550 0.316506 -5.468140
2.139872 0.030582 -13.937622
-0.567334 -0.131756 -14.151123
1.865997 1.038014 -11.498901
4.702654 0.605475 -1.598877
