Tower sampling points:
-2.343102 -0.176098 -0.771838
3.827779 -0.176098 -0.771838
0.864525 0.471289 -8.542847
-2.349203 -0.119093 0.000000
4.021623 -1.443875 -2.583130
-3.997181 -2.779856 -9.332031
5.300071 -2.913605 -9.604492
-4.002747 2.314211 -8.175171
5.332804 2.187712 -10.171265
2.208723 2.773150 -4.515137
1.629103 -3.650750 -6.036255
-0.088667 -0.639406 -3.618164
-0.504732 -1.282788 -11.578247
1.655085 0.297778 -0.760010
4.253639 -0.133473 -8.025146
-2.211175 -0.600434 -7.628174
1.458276 0.897742 -11.533569
3.944340 1.392255 -2.775269
-3.917375 0.073488 -9.871216
1.214203 -0.750687 -6.066040
3.362394 -2.161342 -4.905762
4.224326 0.128453 -0.721680
1.482569 -1.134389 -10.201294
-0.388900 -0.847207 -1.273560
-0.505049 0.680948 -10.370117
5.023354 -0.593886 -10.086548
2.354780 -1.133139 -8.174927
-0.324022 -1.307153 -8.374268
1.118151 0.928965 -4.738403
-0.224012 0.572945 -6.769409
5.168781 2.354184 -8.121216
-3.719061 2.059868 -10.188354
-4.029756 -1.010203 -8.285889
1.221452 0.401254 -2.712036
2.631346 0.624591 -7.458008
-1.030945 0.572576 -8.464722
5.272878 -1.448268 -8.583862
1.629261 -2.177336 -5.096436
-4.121554 -1.536299 -10.464355
-3.708257 0.661365 -8.299561
2.866796 -0.728825 -1.207886
-0.263544 -0.864831 -5.235962
-0.444241 -0.978366 -9.967285
-0.179184 -1.038305 -6.813354
1.267562 -0.719557 -4.438354
-1.431807 0.346594 -1.207886
1.245501 -0.870100 -1.764160
1.452365 0.581675 -9.972168
3.425735 1.927930 -4.172119
5.278473 0.882636 -8.446167
0.685399 -0.377993 -11.410767
1.249262 0.527275 -6.871216
-0.086250 0.490969 -1.821777
4.185521 -1.321695 -1.088867
1.015051 -1.044009 -7.667236
5.305237 -1.895633 -10.594604
-0.199131 0.442447 -4.575317
5.024701 0.801020 -10.243164
4.076869 -0.163339 -2.056396
3.039256 0.114106 -8.653320
0.865263 -1.178749 -9.022461
-2.319177 -1.046008 -0.951538
0.089871 0.799850 -11.546387
-2.387579 0.551447 -8.243896
1.150537 -0.828519 -3.142334
0.305701 0.031025 -0.673950
2.537024 -2.962695 -5.485718
3.761412 -1.885061 -3.734741
-0.830357 -0.349558 -7.636841
0.167953 -0.627635 -2.373535
1.354331 -1.420040 -11.463379
4.000265 0.985153 -1.622070
0.010740 0.447250 -3.095093
1.749909 -0.099150 -7.964844
-0.267478 0.069193 -9.367065
0.717790 0.518053 -5.801025
1.240884 2.162211 -4.834229
0.346739 -1.359649 -10.768555
3.511450 -1.005157 -8.333496
4.907299 -0.065502 -9.031006
2.927138 0.340757 -0.808228
-1.431096 -1.031954 -8.345703
-2.900031 -0.947243 -8.442993
-0.398834 -0.165904 -11.230835
