Tower sampling points:
-2.643433 0.071800 -0.680615
1.828603 0.071800 -0.680615
-1.010283 -0.783913 -12.567444
1.825113 0.640313 0.000000
-3.513189 -0.020766 -5.403259
3.531659 0.421250 -7.989075
0.717986 1.117327 -17.973450
-2.844223 -0.233348 -0.654602
0.951110 -0.503027 -4.311646
-4.214294 0.070125 -9.715942
-0.444283 -0.692874 -8.193787
2.681180 0.875766 -13.295166
-1.450647 -0.931646 -16.064148
-3.452458 0.811852 -13.287842
0.924731 0.732320 -10.920593
-0.356577 0.596480 -1.920593
0.072688 0.983432 -14.558899
-0.982634 0.672847 -5.957397
-2.524864 0.745024 -7.967102
-1.622207 -0.457753 -3.817566
2.675719 0.665564 -5.669067
-1.507554 0.841005 -10.847595
-0.000489 -1.175072 -18.034363
-1.564032 1.108798 -17.310059
1.186964 0.696558 -7.401855
0.724431 -0.875623 -15.557556
2.562538 -0.579239 -11.685547
-3.298003 -0.499580 -11.583679
-0.374492 -0.809594 -10.261963
0.024050 0.919674 -12.627563
0.138924 0.817722 -9.208862
0.501619 -0.734362 -13.679443
0.353735 -0.609316 -6.355347
3.415843 -0.293444 -9.689697
-3.967164 -0.403873 -7.942566
2.759888 -0.403529 -4.027649
0.480483 -0.391974 -0.646484
0.613055 -0.844607 -11.776550
-1.328101 -0.073801 -14.183167
-0.024845 1.030422 -16.342957
2.648798 -0.854924 -13.633362
-0.313976 0.705129 -4.178284
2.133590 -0.572833 -8.067993
-1.582572 -0.566915 -17.829956
-1.184750 -0.299765 -0.759766
-2.958320 0.528759 -3.945862
-0.476703 0.825521 -7.522461
-1.505863 0.942088 -15.653076
-2.074476 1.164262 -0.302002
-1.958173 -0.614015 -7.304871
-1.793730 -0.748577 -11.091797
-0.034382 -0.478870 -3.055054
-0.655645 -0.541100 -5.050476
0.703650 -0.335508 -17.023987
-1.176046 0.122151 -9.444702
1.900556 -0.460651 -0.974976
-1.404355 0.945573 -12.432983
-0.534953 -1.029364 -14.907898
1.710788 0.608925 -3.900269
-2.641766 0.723076 -11.777100
-0.435937 0.184911 -11.531250
0.793327 -0.578657 -7.641357
1.941478 0.600577 -11.821350
0.225443 0.495175 -5.437256
-1.101552 0.479124 -3.006287
-0.228944 -1.127471 -16.532776
-0.963038 -0.589787 -6.363892
-3.455489 -0.477905 -13.530457
0.315695 -0.483512 -9.238342
-0.250441 0.798325 -10.427795
-0.812144 0.925964 -13.590088
-1.407485 0.237973 -8.175476
-0.505107 1.116723 -17.924988
-0.309656 0.540263 -0.651184
2.342888 0.664948 -7.766296
0.601704 0.534142 -3.403381
0.021717 -0.547845 -1.746887
-1.419857 0.128807 -16.634644
-1.800966 0.671097 -4.219299
-2.754075 -0.525867 -8.193054
1.207000 0.499703 -1.024292
0.246931 0.549667 -6.620483
0.258525 -0.128968 -14.806274
-3.626871 -0.369342 -4.193665
0.563680 -0.381324 -10.743469
-4.034337 0.557307 -8.714966
2.599139 -0.095381 -12.697388
-0.667481 -0.856873 -13.632996
1.610825 -0.562746 -11.098694
0.415416 0.448989 -8.193542
-0.907120 -0.382071 -2.323547
-1.628169 0.048622 -11.834351
0.667444 0.251762 -11.873169
-1.052778 1.013779 -14.653687
-1.999904 0.361731 -1.023987
-1.633508 0.709992 -7.229370
-0.119192 -0.373777 -4.127441
-3.336963 -0.011485 -12.543457
-0.653921 -0.845434 -11.290161
0.086896 -0.815660 -12.695251
-0.239248 -0.232835 -7.144348
0.456201 1.026320 -13.580688
0.771198 -0.354965 -18.072876
-2.593935 -0.461299 -4.254944
1.871511 1.357419 -0.743042
-1.030701 0.585652 -4.929382
3.333652 -0.586075 -8.061890
0.531622 0.916990 -15.476685
-3.517019 0.557434 -7.821777
2.469096 0.238520 -4.763062
-0.797329 0.803583 -8.789795
-1.130029 -1.080488 -17.076782
-0.693234 -0.754219 -9.282288
-3.416199 0.889959 -5.788574
-2.397991 -0.548786 -12.010681
-3.581215 0.485372 -11.662598
-0.694245 0.073214 -14.898743
-1.074020 0.525360 -1.281189
1.795414 -0.422657 -3.858154
-1.041559 1.083545 -16.480042
2.637742 -0.274754 -5.849182
0.650175 0.320267 -16.332947
1.560868 0.279144 -8.169861
0.210427 -0.470842 -5.413269
0.775959 -1.150678 -17.483276
-1.031290 -0.608853 -7.474854
-0.167632 0.568723 -2.831970
0.636186 1.045448 -17.049744
-4.189877 0.992504 -9.520874
-1.218319 -0.121459 -10.723267
3.261300 0.028792 -8.835083
0.303412 0.236369 -1.348389
-1.376605 -0.670690 -15.012451
0.080777 0.940687 -11.579956
-1.590095 -0.655748 -8.199768
-0.990478 0.902756 -11.593872
-0.926360 -0.471190 -3.229187
-1.099340 0.908421 -9.892273
-2.333511 0.001755 -11.266846
2.797972 0.279061 -11.831055
0.838981 0.475209 -4.270996
1.700389 -0.597802 -11.983398
-2.740225 0.768924 -0.746643
0.423973 -0.980450 -14.645264
-1.492241 0.374351 -17.789001
0.878545 -0.314092 -3.455994
-0.497252 0.230848 -8.199951
-0.992822 0.244851 -3.873474
-1.305169 0.234408 -13.364868
-1.182962 -0.607688 -9.996460
0.296534 0.111640 -9.876160
-1.075691 0.252887 -6.716553
-0.334029 -0.361462 -0.973450
-3.311595 0.649635 -4.896362
-2.743093 -0.952930 -1.119202
-0.854229 -1.074677 -17.969055
-2.495169 0.022728 -7.512268
-0.286540 -0.107816 -10.737366
0.756791 -1.079106 -16.621399
1.540877 -0.137442 -7.432861
2.761990 0.034708 -8.133484
0.715309 0.345595 -17.610901
-2.242507 0.112273 -3.760498
-1.435611 -0.764611 -11.850098
2.076634 0.328787 -0.811279
1.089787 -0.307409 -1.191956
-0.911209 -0.538250 -4.269287
0.318509 -0.457064 -8.378784
-0.705160 0.912125 -15.487549
1.380366 0.187091 -11.308472
-1.989830 -0.372009 -0.693176
-1.831525 0.793573 -11.607361
0.404215 -0.688051 -10.018799
-0.390054 -0.765892 -12.044067
0.508954 0.490410 -0.615784
0.380048 0.656295 -7.403992
2.706845 -0.068936 -13.501099
-0.151279 1.104797 -17.171143
-0.919224 -0.360819 -1.516846
-0.216857 0.219344 -3.536743
2.569577 0.561229 -4.053467
1.187928 0.815864 -11.729553
-1.220660 -0.844372 -14.247742
0.113835 0.105000 -4.692383
-4.281981 0.573076 -7.942566
-1.363143 0.364346 -15.155762
-1.051307 0.031203 -5.535767
1.368327 -0.589488 -8.152771
-1.075322 0.517383 -2.180359
0.038187 -1.053109 -17.243591
-0.809643 0.494045 -10.907166
0.433983 -0.007474 -14.075867
-0.228254 0.675055 -6.027954
-0.187327 -0.819591 -14.232483
0.771212 0.038601 -7.210754
-0.666442 0.933597 -12.270874
-0.879680 -0.965729 -15.571289
0.062258 -0.631623 -11.315491
-1.576280 0.001428 -7.486755
0.340359 0.305734 -11.102661
-0.007699 -0.972187 -15.456055
-0.435720 -0.536200 -5.775146
-0.480748 0.696496 -6.758789
-0.128920 -0.067532 -2.447083
-1.623993 0.445260 -3.526489
-1.042381 0.870181 -8.083679
-0.400452 0.780038 -9.711243
-3.595511 0.360380 -4.264893
-3.297512 -0.426045 -7.660645
1.362185 -0.293369 -0.523987
0.061506 -0.632292 -7.684875
-0.310379 0.666629 -4.988342
0.320688 0.825591 -9.959961
0.608183 -0.174099 -15.652588
-1.032774 -0.627933 -8.649597
-1.393909 0.437324 -0.646973
-1.288301 -0.647566 -13.345154
-0.134002 0.739628 -8.535889
-2.985901 0.085437 -11.832092
-1.011782 -0.863261 -10.681274
0.383303 -0.575697 -7.059143
0.400560 0.018265 -3.857056
0.934807 -0.033924 -8.109070
-2.166417 0.466384 -0.354492
-0.847674 1.097925 -17.203064
2.557305 0.625145 -12.386047
0.304503 -0.995329 -16.097656
-0.182929 0.928995 -13.288574
0.290137 -0.564777 -4.693054
1.269063 0.051999 -3.932068
-1.340570 0.693483 -14.114258
-1.668202 0.227198 -11.118347
-1.839850 0.800431 -8.025574
-0.886244 -0.363801 -11.737488
