Tower sampling points:
-0.540788 -0.139728 -0.304657
0.291979 -0.139728 -0.304657
0.264616 0.061112 -7.764160
-0.015808 0.218345 0.000000
-1.362864 -1.114613 -14.237183
2.130144 -0.264164 -3.801758
-3.475209 -0.337420 -9.438660
0.701119 0.728083 -11.566162
-0.975917 -0.939896 -4.805359
2.934033 -0.523765 -9.491150
-0.268171 0.692050 -2.715149
-0.933276 -1.008643 -10.201355
0.570026 0.926229 -14.227356
-2.261083 0.292539 -7.246460
0.607753 -1.241980 -12.905762
-1.270002 0.806341 -12.806274
0.435213 0.551077 -5.636780
2.359037 0.047540 -7.556458
-1.272380 -1.142428 -12.202393
0.046760 0.701261 -9.646179
-0.748623 -0.778603 -1.554382
0.401077 -0.880980 -3.459656
-0.850111 -0.937690 -6.660095
0.709337 -1.005349 -10.982971
2.167970 0.101146 -5.577576
0.560041 -0.997294 -9.178467
-1.087619 0.740940 -11.013672
-1.036000 -0.913122 -8.449890
-0.965356 0.653345 -4.243164
-0.787451 0.656969 -6.701660
-3.499053 -0.265050 -7.907776
0.804029 0.554084 -3.765564
-0.960776 0.577211 -8.475098
0.416391 -0.938582 -5.599548
-1.021843 -0.861940 -3.024170
-0.909715 0.903671 -14.231567
1.209862 -0.770915 -7.052673
0.266156 0.421608 -1.408691
0.019663 -1.226398 -14.166565
0.316671 0.814199 -12.886047
-0.967590 0.168209 -5.458191
0.349439 -0.638498 -2.199463
0.255239 -0.711755 -0.794495
0.392293 -0.254334 -4.580261
-0.093101 -1.104323 -11.901367
0.780763 -0.260704 -14.059387
-1.070457 0.226970 -9.631592
1.213094 0.453967 -7.194641
-1.962374 -0.695523 -7.776855
-1.230527 -0.384255 -11.329956
0.201852 -1.049116 -8.058166
3.032428 -0.439044 -8.359497
0.399054 -0.197221 -6.498840
-0.938584 -0.077013 -7.549255
-0.827477 0.412368 -1.777283
-0.846484 -1.157920 -13.227173
-1.331969 -0.027247 -13.811157
-0.509185 0.823421 -12.030273
0.592744 0.459829 -10.541382
0.467322 0.608687 -8.675293
-0.991241 0.157003 -3.267761
-0.680841 -0.116650 -0.759155
0.648383 -0.398501 -11.840881
1.690589 -0.643417 -7.931458
-0.527586 -0.943530 -3.901062
-0.501357 -0.976424 -9.299377
0.983722 -0.165898 -3.085876
0.205826 -1.008141 -10.106262
-0.080699 0.594525 -4.684875
0.128655 -0.926340 -7.088501
-0.555224 -0.826406 -5.671448
-0.161191 0.557014 -3.711060
2.114998 -0.428855 -4.771973
0.208859 0.623629 -6.949585
-0.149779 0.635927 -11.145569
1.246826 -0.626168 -3.875854
-0.584887 -1.054627 -11.080200
-0.234518 -0.242259 -2.845764
-1.236176 0.201519 -12.026245
-1.766512 -0.690568 -6.896362
-0.193439 0.775761 -13.708374
-1.575701 0.504134 -7.783264
-0.419162 0.631260 -7.761353
-0.568351 -0.879318 -7.633179
-0.938632 -0.115784 -6.291992
-2.769950 -0.403375 -7.435547
-3.431419 0.126579 -8.685852
0.417382 0.204030 -2.498657
-0.935419 -0.222928 -2.347168
1.344487 0.160039 -7.990356
-0.953023 -0.206814 -4.366455
-0.330540 -0.038647 -6.900574
0.842779 -1.133432 -13.992493
0.718737 0.304004 -13.433166
0.076952 -1.025551 -4.671875
-1.121480 -0.448293 -9.128357
0.431379 -0.164024 -8.957947
0.835051 -0.608461 -7.793091
1.559338 0.244149 -3.516846
-0.375035 0.571120 -6.006958
-1.486907 0.322823 -6.997559
-0.011345 -0.869587 -6.292297
-0.062700 -1.025809 -2.787292
-0.298511 0.562558 -8.929749
-0.858467 0.674330 -10.255676
0.437853 -0.180432 -5.367798
0.587753 0.012619 -11.177246
-2.804849 0.238861 -7.857849
-0.247142 0.072154 -2.132141
0.262838 -0.334134 -1.510986
0.257112 0.158803 -0.700745
0.664611 -1.151415 -11.875671
-0.088311 -1.199773 -13.425598
2.839489 0.011767 -8.925659
-1.289045 -0.733360 -7.463379
0.659992 -0.169601 -3.786743
0.240794 0.829076 -12.153564
-0.207359 -0.428881 -0.291748
-1.132232 0.816232 -13.524292
-0.398658 -0.733339 -2.208252
0.424879 0.588760 -3.119385
-0.671756 -1.157293 -13.942871
-1.020547 0.577561 -2.673584
-0.052822 -0.914722 -8.730957
-1.068284 -0.504680 -3.724243
-1.317923 -0.674746 -13.522095
0.719605 0.599023 -7.737488
-1.149680 0.858911 -11.702698
-0.762552 0.642033 -4.913879
-1.195766 -1.068349 -11.440491
-0.972465 0.732797 -9.143982
-0.335625 0.386149 -1.091248
-1.763751 -0.176715 -7.391357
0.591094 -0.678902 -2.843201
0.252644 -0.891024 -12.458069
0.090522 -1.031662 -11.261291
0.385874 -0.283806 -7.204285
-1.162277 0.198286 -10.612549
2.116071 -0.545823 -5.428101
-0.262278 0.533698 -5.339050
-0.335059 -0.252152 -7.766357
-1.017203 0.596928 -7.379944
1.766176 0.063724 -7.257080
0.414636 0.549977 -6.300781
-0.320013 -0.557676 -1.096375
2.053549 -0.512644 -7.387878
2.878061 -0.334604 -7.729553
1.172236 -0.195795 -7.364746
-2.246870 -0.099929 -7.823791
-1.206838 -0.801405 -10.751892
0.015623 0.374684 -8.274292
0.511118 -0.597946 -9.713562
0.118471 -0.936548 -4.037170
