Tower sampling points:
-2.995999 0.155807 0.000000
3.156277 0.155807 0.000000
-2.965482 1.074160 -0.313519
2.805204 -1.385775 -16.980328
6.318803 -1.917395 -6.090375
-4.141456 2.936661 -10.492169
-3.235344 -3.454809 -13.458173
6.183041 3.542258 -13.710553
3.363155 -0.923330 -0.058026
0.404481 1.087209 -6.043256
2.255405 -1.098450 -11.164166
-3.351421 -3.149251 -4.971661
6.472412 -3.118272 -13.673322
6.027387 3.172774 -5.377545
-0.362824 1.459786 -14.472577
-4.482436 -1.550742 -9.245648
-3.693934 2.876261 -5.450543
7.037669 2.028477 -9.519452
3.695653 0.200827 -3.911359
7.085783 -2.800490 -9.812421
3.839323 0.447182 -7.984723
0.513532 0.895073 -1.908063
-0.804291 -0.904509 -8.968427
-3.672268 0.169286 -12.893231
5.247806 0.178898 -12.787762
-3.380342 3.428200 -14.163434
-2.032495 -0.183514 -4.086469
2.251380 1.925438 -16.799420
0.058148 1.347327 -11.190656
-0.410339 -1.209092 -16.422650
-0.782941 -1.163754 -12.838055
2.494522 -0.179743 -14.156537
-2.936858 1.190030 -8.393964
1.286020 1.213592 -8.700421
2.963982 1.470835 -11.879254
1.070764 -0.693215 -4.065228
6.242824 -0.527838 -8.614728
-0.786148 -0.459524 -0.028363
-3.270646 -0.707123 -6.324139
1.635241 -0.896766 -7.170575
6.285072 0.818304 -6.437726
-0.268148 1.785105 -16.979047
6.348943 1.256896 -14.634930
7.007039 0.068874 -10.801373
-4.088228 0.577454 -10.644635
-1.794884 1.470788 -12.638348
1.799355 0.756323 -0.014020
-3.202958 -1.403424 -14.443036
6.421364 -0.989465 -14.442853
5.776225 -0.334119 -4.598859
-3.915750 0.845686 -4.585736
-0.795971 1.091535 -7.890363
-2.873211 -1.099569 -0.052838
0.634373 -1.238321 -14.465375
0.871879 0.195000 -12.811444
0.074932 -0.952587 -10.900922
1.369343 -0.921355 -9.249860
-0.262121 0.921753 -3.919537
3.653389 -1.175533 -12.731854
-3.351614 1.345920 -14.575238
2.007096 1.146352 -4.633466
1.729303 -0.748554 -1.859479
1.653076 1.592231 -14.734723
-2.721027 -0.827400 -8.305646
5.411559 1.187976 -8.931866
-3.315725 1.208352 -6.334637
2.044548 1.115209 -6.969220
6.111221 -1.529729 -12.670941
-4.563855 1.657754 -9.192853
0.307688 -0.773144 -5.866864
1.771980 1.329086 -10.498822
5.907421 1.874205 -12.955365
-3.342984 -1.367441 -4.624738
3.169489 -0.935599 -8.940167
5.984344 1.460097 -4.788922
-2.508458 -1.080569 -12.410260
-3.972135 -3.236834 -9.420941
1.852859 0.649120 -2.977338
2.058768 -1.243079 -15.422955
2.048951 -0.238078 -5.629071
2.824359 0.316134 -16.940961
-3.737163 2.126727 -13.116071
1.989373 -1.294241 -13.003522
-4.019079 0.034898 -8.943219
0.079117 -0.549134 -7.613568
1.834894 1.546762 -13.094647
-0.163985 1.479176 -12.829327
-0.522143 -0.683429 -3.669232
0.765511 -0.461525 -0.541547
1.186644 -1.501837 -16.989850
-0.783829 0.178483 -11.929059
-3.718413 -1.969141 -13.004376
3.388015 0.651746 0.291461
2.872834 1.305763 -8.966168
-0.134998 -0.034590 -15.187848
0.119744 0.309589 -9.429730
4.312942 1.468332 -12.766766
4.682805 -0.810630 -8.478253
2.373511 0.066224 -12.235272
-0.122237 0.885885 -0.483319
-1.748435 0.335172 -8.931134
2.212596 0.067581 -8.228619
7.083202 -1.412787 -10.473370
6.189051 -2.827581 -4.891461
2.505492 -0.657265 -3.568524
0.501154 1.702507 -15.693158
-3.988689 -0.906246 -10.512860
0.407198 -0.500257 -2.525861
0.619220 -1.270063 -12.370038
6.854168 3.264414 -10.279950
2.579051 0.866798 -15.598859
-0.409609 0.334628 -16.970074
-1.590753 0.644430 -0.511273
4.580544 1.029247 -4.700543
-0.248001 -0.071008 -13.669049
3.962551 0.193740 -12.156720
0.739496 0.723573 -7.405133
-1.560276 1.013866 -4.694257
2.216049 0.134678 -9.690228
6.805804 0.775726 -8.896954
7.025774 -1.655716 -8.980450
1.299615 1.195588 -11.799969
-1.760985 -0.036273 -12.939252
6.259750 2.203750 -6.345319
-3.184413 -2.026307 -5.831952
1.811656 0.726777 -1.480939
6.342156 -0.566566 -6.331830
-3.269120 -0.041389 -14.586652
6.941547 1.436662 -10.754620
2.244367 -0.387839 -0.644574
4.461103 -0.692988 -4.587262
0.334800 0.163352 -4.919049
1.155063 -0.317242 -11.616559
-1.200190 -0.248161 -7.875531
4.909961 -0.994437 -12.292340
6.288837 -1.528947 -4.825970
0.756065 1.551511 -13.819440
1.011030 1.671293 -16.981244
2.344267 0.178224 -10.958722
0.545113 1.435550 -10.020551
-3.952029 -2.171817 -10.212445
-3.038082 1.230301 -12.566022
0.998518 0.884137 -3.911420
-3.546560 -0.053426 -0.258832
6.251689 2.499405 -14.457928
2.904043 -0.833963 -7.711041
3.074814 -0.708569 -4.677838
4.129570 1.253693 -8.887372
2.512699 -0.171879 0.582660
1.614772 1.072977 -5.805829
-3.174958 -0.138258 -4.621136
-2.725310 0.971072 -4.315228
3.270453 0.873489 -12.967145
3.264496 1.042095 -4.676434
-3.330754 1.821442 -4.984357
1.819609 -1.196870 -14.190472
-0.012338 1.383969 -8.911725
2.939546 1.209844 -7.769330
0.159878 -0.926691 -9.680157
-4.117469 1.758253 -10.667157
-1.087363 -0.521471 -4.695966
-0.387906 0.891340 -15.861554
0.585848 0.846233 -14.899823
-2.052951 -0.284624 0.120868
1.303912 -0.948664 -10.502179
-0.243269 -1.194680 -15.255231
2.855414 0.994969 -3.594220
1.059259 0.040449 -8.686749
5.062473 0.288323 -8.299359
2.681622 -0.278641 -15.310956
-0.890560 1.436900 -11.932538
-1.144288 1.320519 -9.039532
-3.188893 -2.455972 -13.998029
0.035113 0.217306 -11.078961
-1.474086 -0.800320 -12.014569
2.544353 0.938524 -14.338422
6.321312 0.143845 -14.425946
1.510226 -0.633681 -2.964764
1.889226 0.159094 -4.095441
0.165131 0.030131 -6.641644
0.216931 -1.143224 -13.435834
0.432625 0.629705 -2.982770
0.422843 -0.934982 -8.603253
1.837817 0.345207 -14.954144
0.950158 0.799462 -0.747968
1.176208 -0.730625 -5.162518
3.081762 -0.844602 -11.844830
-1.863484 1.145008 -8.145367
2.293686 -0.916129 -9.997845
0.828275 1.138093 -4.980450
-2.834004 0.222598 -8.925336
-3.547099 -0.920246 -12.766278
6.429507 -2.006328 -14.065045
-0.935139 0.722476 -12.893048
2.135700 0.039535 -6.906720
-3.369809 2.302951 -6.301678
4.059591 -0.054110 -8.920331
-0.448156 -1.096405 -11.825848
-0.073245 -0.332420 -12.650128
2.112413 -1.048713 -8.496320
-3.376585 2.407983 -14.500043
1.921070 1.749894 -15.802533
-0.250383 -0.312177 -0.935651
-1.873886 -0.849340 -8.940656
