Tower sampling points:
-0.156446 -0.134473 -0.351898
0.509659 -0.134473 -0.351898
-0.539619 0.658997 -9.031982
0.186407 -0.390051 0.000000
-0.712122 -2.286446 -4.671265
3.349628 -1.756407 -8.203796
-0.919907 2.147195 -4.390015
-3.097925 -2.231151 -8.296082
2.891442 1.998134 -8.023010
-3.353906 1.876689 -8.032776
1.288859 -1.143568 -10.963684
0.910540 0.192240 -6.224609
-2.465475 -0.241625 -3.310791
0.596099 -0.080391 -3.080505
-1.392943 -0.792798 -6.938110
-3.100441 -0.088988 -9.450500
1.113944 -0.934892 -8.323792
-1.044998 -1.148690 -10.588196
3.043383 0.152351 -9.496216
0.959930 1.070007 -10.867920
-0.511628 -0.089958 -4.809082
2.879492 0.167195 -7.410522
-0.974007 1.037065 -10.834290
-0.032217 1.407134 -0.359314
1.243799 0.835678 -7.895203
-2.743212 0.178350 -7.675720
-0.647833 -1.114389 -8.784912
-0.406694 0.691941 -7.274170
-0.238188 0.208745 -1.587219
-2.057155 -0.668954 -4.914612
1.050691 0.187562 -9.502808
-0.973638 0.337506 -3.050964
0.185840 -0.974426 -7.065674
0.827156 -0.819744 -4.843994
0.116142 -0.199514 -10.797485
-1.709815 0.784850 -4.776367
0.532819 -1.207676 -9.707214
1.755479 -0.669465 -7.020386
0.048546 -1.700078 -0.579407
0.702171 0.476494 -4.351624
-0.529874 -0.847380 -5.911011
-1.436608 0.138441 -7.916077
-0.580974 0.554727 -5.967590
-0.581175 -0.778887 -3.619263
-3.034615 -0.900433 -8.330811
3.106841 -1.038203 -9.208984
-3.131658 0.846375 -8.662109
0.027964 0.929105 -10.094482
-0.803532 -0.212312 -9.850220
-0.538259 1.005258 -4.279480
0.605737 -0.568314 -1.976501
0.367976 -0.035862 -7.838013
2.975564 1.187232 -8.896667
0.690800 0.222528 -0.827515
-1.218971 -1.389544 -5.165100
1.259891 -0.006182 -10.679810
-0.392563 -0.512958 -2.502869
3.324199 -0.623659 -8.065796
0.582440 -0.856061 -5.993408
1.711962 0.449287 -6.950989
-0.616470 -0.644589 -7.746094
-1.353672 0.351162 -6.835266
-2.070194 -0.744754 -7.808289
0.499552 0.839406 -8.850403
0.586033 0.508215 -2.183899
-1.006493 -0.012783 -10.872864
-0.032078 -1.246284 -10.848816
