Tower sampling points:
-2.989628 -0.219780 0.000000
2.750074 -0.219780 0.000000
-0.874799 -0.608638 -1.397723
1.114354 1.048198 -11.780719
-4.231684 -0.325646 -7.521320
3.696761 -0.705671 -6.055194
-0.035448 -1.399206 -8.307330
2.996400 -0.195951 0.079266
-3.557629 0.324597 -3.884601
-1.257231 -1.719137 -11.746112
2.813409 0.288929 -3.102618
-1.406795 0.676647 -6.274005
-1.261202 0.894783 -9.868427
1.439177 0.797114 -7.050800
-3.257661 -0.288331 0.135297
1.216165 -1.441628 -10.723102
-0.117533 0.272774 -3.794513
-2.913760 -1.112371 -5.675922
1.028441 0.422262 -9.297321
1.424089 -0.717704 -1.542499
3.840855 -0.333950 -8.306049
1.355284 -1.184612 -6.125934
-2.968276 -0.674344 -2.032123
-1.405340 0.308698 -11.785541
-1.142513 -1.250947 -6.664935
-0.461497 0.775512 -8.044391
-4.015345 0.462900 -5.773639
-1.218330 -1.422123 -9.819904
2.579155 0.617542 -5.246600
3.342424 -1.106684 -4.247028
0.273297 -0.336118 -6.998126
0.283733 0.260003 -2.062518
0.185003 0.983854 -10.516437
2.714188 0.121389 -1.592914
-1.245631 -0.369089 -8.667621
-2.263338 0.146029 -0.926593
-2.762694 0.112593 -6.526630
-3.641040 -1.081181 -4.418109
2.947766 0.558930 -6.636249
1.048919 -1.258422 -9.232501
-0.198416 -1.280983 -10.855121
1.117902 -0.038552 -10.840594
1.080647 -1.416927 -7.495624
2.570593 -1.140267 -5.375323
-4.125100 -0.835450 -6.276996
-1.617044 0.227414 -2.136798
-1.413237 -0.119714 -7.349628
2.239782 -0.798059 -2.601520
3.448594 0.435851 -4.267047
2.503636 -1.094231 -6.764423
0.877978 -0.213815 -8.153400
-1.379085 -0.542170 -10.761920
1.579941 0.077510 -5.988544
-2.884315 0.580787 -5.170917
-0.217968 1.023254 -11.723529
-2.926267 0.375603 -2.746600
-3.217551 -0.805085 -3.261493
0.619441 -1.548379 -11.794208
-0.211346 0.790516 -6.848346
-1.800432 -0.483555 -5.985309
-2.345249 -1.203608 -6.824237
-1.176781 -1.365135 -7.897235
2.040666 -0.052276 -0.624347
-0.120947 0.849735 -9.373614
-0.096318 -0.490152 -2.896625
-0.027107 -1.447381 -9.702106
1.629940 0.307767 -2.083209
4.098658 0.188085 -6.681842
0.278184 -0.650142 -1.305133
3.668574 0.357138 -5.512714
-1.902657 -0.763865 -1.748431
0.716040 0.853657 -7.871906
-3.797801 -0.087002 -4.862506
-1.012195 0.996716 -10.919696
-1.287796 -0.177770 -9.725909
1.715255 -0.388370 -6.946002
2.847959 -0.300529 -4.762531
3.093006 -0.833353 -3.238544
-2.859595 -0.749335 -0.978290
-0.260345 -1.219368 -7.245624
-1.206641 0.776105 -8.792010
2.612155 -0.243154 -5.915302
0.937811 0.128660 -1.258014
-0.432314 -0.180368 -7.714801
-0.903720 -1.302002 -8.864337
-0.671835 -0.102694 -6.668597
0.635399 0.479148 -6.422992
1.041633 -0.468036 -9.839923
0.681585 -0.643401 -2.214191
-3.906557 0.189658 -6.716937
-1.377694 0.865105 -7.353229
0.506014 -1.248969 -6.628619
-3.267110 -0.883240 -6.756610
1.091288 0.773742 -10.216144
