Tower sampling points:
0.237260 0.154396 -0.980182
0.910521 0.154396 -0.980182
-1.703578 -0.053290 -7.800171
0.555797 -0.255501 0.000000
4.151519 -0.039676 -8.806091
2.974591 0.149556 -4.138184
0.787313 -0.689886 -10.862183
1.462179 0.476179 -7.014893
-0.033631 0.335406 -3.124573
0.190399 0.610342 -8.993591
0.132219 -0.373568 -5.319702
-3.043412 -0.398430 -9.309570
0.051063 -0.484923 -7.578064
3.079635 -0.195792 -7.392273
-0.057065 0.829079 -10.802673
0.852977 -0.160454 -1.703369
1.565849 -0.275533 -3.257690
-0.030675 0.661456 -6.476624
1.218990 -0.531476 -9.089966
-3.154405 0.288717 -7.828918
0.872838 0.458880 -4.386169
-0.038709 -0.565787 -9.742493
1.061791 0.581551 -10.072083
1.763003 -0.567030 -7.805176
-0.578978 0.577527 -7.882568
-0.947149 -0.376770 -6.806274
2.724182 -0.136416 -5.345886
0.737529 -0.394411 -6.456177
0.901947 0.493173 -5.653320
0.640655 0.610038 -7.889771
4.013632 0.381547 -7.744507
0.212153 -0.393626 -3.950623
2.344026 0.560790 -7.778809
0.203429 -0.520773 -8.667114
0.330935 0.362661 -0.910522
2.071264 0.441248 -3.779785
0.823573 0.355147 -2.587708
-0.140696 -0.315717 -10.881104
0.076289 0.565352 -4.981995
2.182846 -0.188014 -6.955383
-0.191882 0.512604 -9.900574
-0.996811 0.564784 -6.945801
-3.030975 0.543157 -9.198975
1.049812 -0.142819 -8.248779
-0.856209 -0.430196 -7.823181
1.137676 -0.516670 -10.012573
0.154219 -0.217579 -2.304871
0.971535 -0.461400 -7.357300
0.891701 -0.339448 -4.819519
0.920209 0.393793 -3.484924
0.030316 0.485963 -4.023010
0.258249 0.510761 -1.794495
-2.518196 -0.274380 -7.502808
3.948032 0.702622 -9.247009
0.559300 -0.325486 -3.082703
1.029955 0.644784 -8.747864
-0.106077 -0.308464 -6.617188
0.548314 0.322946 -7.081116
-2.839865 -0.090327 -8.536621
1.497871 0.575089 -7.847717
1.125692 0.077503 -10.842773
0.947201 -0.372435 -5.647583
-1.866189 0.472461 -7.182617
1.000383 0.653163 -1.281982
0.099114 0.344301 -5.752197
0.993384 -0.366933 -3.803467
3.193545 0.449754 -7.842285
2.525664 -0.368620 -7.923401
-0.426099 0.111677 -7.283081
1.022985 -0.015625 -0.892212
2.232327 -0.315854 -3.775024
1.448762 -0.306510 -6.747070
-0.069844 0.089388 -8.195312
0.861491 0.554247 -6.423767
-2.315994 0.378068 -7.872498
1.095489 0.249409 -9.403870
-1.315685 0.562088 -7.714783
3.585740 -0.222594 -7.916504
-1.579585 -0.363193 -7.159485
2.723717 0.415409 -7.185120
0.486765 0.668041 -9.645203
0.623680 -0.471898 -9.484680
2.657726 0.320144 -4.804688
0.432866 -0.438746 -10.257996
0.639848 0.707010 -10.854797
0.127797 -0.151614 -4.646118
0.054583 0.712393 -7.520325
1.611647 0.420329 -3.250000
1.531565 0.042260 -3.865479
0.322241 -0.201447 -1.283020
0.528095 -0.055198 -7.784973
-0.043538 0.072583 -9.321594
0.137404 -0.390647 -6.005188
1.601223 -0.016946 -7.432495
